pmt_term,home_type,revolving_balance,total_inquires,total_account,grade,subgrade,debt_income_ratio,total_delinquency,application_type,loan_status
59,1,8901,0,15,6,22,30.07177375,1,0,0
58,0,2470,1,10,6,31,11.43745694,0,0,0
58,0,3007,0,21,5,35,36.58983878,0,0,0
59,1,1297,0,9,6,14,23.33301398,0,0,0
59,1,1040,0,15,6,29,24.85321,0,0,0
59,0,3312,4,11,6,11,12.5862339,1,0,0
59,1,10855,0,11,5,16,23.51128185,0,0,0
59,2,1516,0,10,6,15,16.21881755,1,0,0
59,1,14278,3,36,5,31,29.3928236,0,0,0
58,1,20600,0,14,3,33,13.87977151,0,0,0
59,2,931,0,54,7,20,23.76601946,0,0,0
59,2,6378,0,17,6,35,15.25358211,1,0,0
59,1,5282,0,20,3,24,16.04702003,0,0,0
59,1,3795,2,21,4,21,17.89636251,0,0,0
58,1,9075,0,13,6,21,24.05752628,0,0,0
58,0,5974,0,21,4,16,13.36111135,0,0,0
58,1,1385,0,26,7,25,23.13024823,0,0,0
36,1,4418,1,19,7,32,13.92,0,0,0
58,1,29237,0,22,6,25,33.47707652,0,0,0
59,0,21678,0,5,7,23,36.88817406,6,0,0
58,1,12201,0,5,7,24,34.62850809,0,0,0
58,0,3578,1,31,6,9,23.37777582,0,0,0
59,1,10988,0,16,7,33,24.91737698,0,0,0
36,1,8998,0,9,6,25,25.20322059,2,0,0
59,0,13958,0,17,4,27,8.066422434,1,0,0
59,2,11212,0,20,6,29,17.86959967,1,0,0
36,0,8102,0,19,6,30,14.4349208,0,0,0
59,2,14679,2,19,7,24,31.52546676,0,0,0
59,0,13151,0,52,5,29,32.45032344,0,0,0
58,1,706,0,17,4,4,19.54570262,0,0,0
59,1,1488,0,19,6,20,37.97040116,0,0,0
58,1,51,0,18,6,32,9.350061269,0,0,0
59,0,4206,0,17,5,24,34.93794249,0,0,0
59,1,14493,0,11,7,29,38.34829919,0,0,0
59,1,2339,0,19,7,16,22.93840743,0,0,0
58,1,6194,0,6,4,21,32.76796276,2,0,0
58,1,10686,0,9,4,19,22.43227055,1,0,0
36,2,12324,2,17,6,26,18.75,0,0,0
59,0,3011,0,13,6,22,28.20035511,3,0,0
59,0,4043,0,26,5,18,15.5183983,1,0,0
58,1,5342,0,14,5,18,13.86486578,0,0,0
59,1,33211,0,20,5,18,13.37486388,0,0,0
59,1,8002,0,16,6,20,11.24776806,1,0,0
59,2,6846,0,23,5,6,30.84200153,0,0,0
58,0,1099,0,13,5,20,30.45303377,0,0,0
59,1,14136,0,17,5,23,16.59874727,0,0,0
59,1,4139,0,36,7,29,6.980535005,0,0,0
60,2,17290,0,22,5,23,11.44,1,0,0
36,1,12352,0,14,7,35,14.11,0,0,0
60,1,6416,3,53,3,12,17.6,0,0,0
59,0,14463,0,18,7,17,27.94652386,0,0,0
60,0,3024,0,9,5,7,29.49112048,0,0,0
58,0,744,1,20,7,32,11.99644766,0,0,0
59,0,12218,0,29,5,23,16.29863237,0,0,0
58,1,13111,2,35,7,28,22.35919765,0,0,0
59,0,2493,0,14,5,24,22.59099708,0,0,0
59,1,1610,0,10,4,33,27.59726796,0,0,0
59,0,3408,0,16,5,23,25.43771211,0,0,0
58,1,3383,0,26,5,24,23.27880093,0,0,0
59,1,2764,0,20,6,22,31.00410203,0,0,0
58,1,8230,0,7,3,13,11.50252366,0,0,0
58,1,6390,0,20,3,24,18.02834238,1,0,0
59,1,6128,0,16,5,18,37.85626075,2,0,0
58,1,25985,0,6,2,10,26.57954771,0,0,0
59,1,1027,0,23,3,20,27.64943834,1,0,0
58,1,656,0,14,3,19,16.56228427,0,0,0
60,1,11063,2,66,3,15,31.28,0,0,0
59,0,3078,0,31,5,13,21.21829601,0,0,0
58,1,3938,0,13,4,22,29.58102892,0,0,0
58,0,5270,2,14,6,28,17.65470214,0,0,0
58,1,6567,0,20,6,20,22.06879657,0,0,0
59,0,9262,0,19,7,27,33.65706076,0,0,0
58,1,3122,0,29,5,23,28.58543274,0,0,0
58,1,9536,0,9,7,25,38.33252001,0,0,0
58,1,632,0,16,7,34,13.55325429,0,0,0
60,0,10576,0,13,5,22,22.32,0,0,0
59,0,3484,0,20,2,33,11.05323093,0,0,0
59,1,618,0,10,6,28,12.70424982,0,0,0
59,0,3624,0,16,5,26,24.48013205,1,0,0
58,2,3208,0,20,5,18,15.8409372,0,0,0
60,0,25085,1,41,6,28,11.2,0,0,0
58,1,3254,0,14,3,8,38.10660397,0,0,0
59,1,7414,0,4,6,27,22.12200636,0,0,0
58,1,4673,0,31,4,28,34.58533189,1,0,0
58,0,10807,0,30,7,25,22.95016349,2,0,0
59,1,4696,3,23,6,25,10.61927443,1,0,0
58,1,2435,0,32,5,27,17.37376388,0,0,0
59,1,906,0,24,7,21,22.7529666,1,0,0
58,1,12475,0,10,1,19,21.29224607,0,0,0
60,1,21005,2,73,3,12,32.64,0,0,0
58,1,1908,0,18,6,13,29.87333723,0,0,0
60,2,4735,0,24,6,27,24.03884747,0,0,0
58,2,4587,2,23,7,13,39.39583649,0,0,0
60,0,13248,1,25,6,26,15.91,0,0,0
58,2,4235,0,16,6,28,34.15508318,0,0,0
58,2,483,0,28,5,14,27.53213079,0,0,0
58,2,3384,0,20,7,27,16.58478392,0,0,0
59,0,18907,0,6,2,35,23.51255416,0,0,0
60,1,6076,0,32,5,21,18.92,0,0,0
59,1,4527,0,24,6,27,23.32305842,0,0,0
58,0,2985,0,6,3,30,20.88412538,0,0,0
59,1,5101,1,20,2,13,34.45826403,0,0,0
58,0,3134,0,12,5,12,13.37862431,0,0,0
59,0,5370,0,41,6,6,16.65332185,2,0,0
58,1,9363,0,16,5,26,27.56115185,1,0,0
58,0,5122,0,21,3,32,19.13873481,2,0,0
58,1,10222,0,18,5,30,29.57541298,0,0,0
58,1,5011,0,13,5,10,27.65118782,0,0,0
59,1,2269,0,9,6,27,37.72451278,1,0,0
59,1,7822,0,14,4,27,14.94193344,0,0,0
58,0,34,0,5,7,17,33.3990774,0,0,0
59,0,8622,0,34,5,16,26.69314254,0,0,0
59,0,4241,2,17,5,15,38.54281141,0,0,0
59,1,2616,1,21,5,28,39.00888668,1,0,0
59,2,10311,1,26,7,20,32.1346861,0,1,0
58,1,6820,0,17,6,9,16.46705528,0,0,0
59,1,1616,0,22,6,20,32.07013787,0,0,0
59,1,1841,1,20,6,27,13.70822722,1,0,0
58,0,1270,0,34,5,19,5.472370305,0,0,0
59,0,15568,0,11,6,23,24.16489107,0,0,0
58,2,25803,0,25,4,30,15.87673482,0,0,0
58,1,732,0,24,6,27,17.62800527,0,0,0
58,0,18446,0,24,5,14,12.52361161,0,0,0
59,0,13347,0,9,6,27,20.05745699,0,0,0
59,1,8665,0,16,7,17,21.06084835,1,0,0
36,1,3424,0,7,2,25,29.65911736,3,0,0
58,0,18091,0,9,5,31,37.80294055,0,0,0
59,2,7280,0,21,3,26,27.21035765,0,0,0
59,1,6601,0,15,7,29,16.19885828,0,0,0
59,1,6018,0,21,6,13,32.80660879,1,0,0
59,0,6564,0,21,6,22,29.48002716,1,0,0
58,0,19198,0,13,5,27,20.602406,0,0,0
59,1,39361,0,18,7,24,27.30706528,2,0,0
59,1,9108,0,26,5,19,12.27332239,0,0,0
59,0,6951,0,16,5,17,32.70298889,0,0,0
59,0,615,0,20,6,20,24.97505521,0,0,0
58,0,17430,0,22,6,32,15.877839,1,0,0
59,0,7030,0,17,5,33,35.41640673,1,0,0
59,1,7872,0,18,5,12,33.22231648,0,0,0
59,2,6228,0,6,4,17,32.68797549,0,0,0
58,0,2191,0,12,6,30,25.15283154,0,0,0
58,0,8699,1,20,7,29,16.32951207,1,0,0
58,1,4950,0,22,7,35,24.17364314,0,0,0
60,1,18709,0,17,3,11,21.97,0,0,0
59,0,1846,0,42,6,27,34.09568712,0,0,0
59,0,4927,0,28,6,27,24.3386514,1,0,0
59,1,5530,0,32,5,27,10.4109542,0,0,0
59,1,11711,0,22,6,28,28.50561379,0,0,0
58,2,6744,0,22,7,25,15.68513431,1,0,0
58,1,9055,0,10,7,35,26.24795668,0,0,0
58,1,4649,0,5,5,24,23.95865551,0,0,0
36,1,22529,0,6,4,4,36.16806179,0,0,0
58,1,579,0,18,6,35,29.393254,0,0,0
59,0,13191,0,17,5,28,31.96688251,0,0,0
58,0,1840,0,10,6,29,35.39492418,0,0,0
59,0,2154,0,19,4,30,22.82127288,0,0,0
58,0,589,0,22,7,17,18.26486287,1,0,0
60,1,6747,0,12,3,13,4.12,1,0,0
36,0,9057,2,24,6,27,13.66,0,0,0
59,1,5415,0,21,4,31,19.57505227,1,0,0
59,0,45220,0,30,5,27,30.87665391,0,0,0
59,0,8288,0,17,4,18,22.3189024,0,0,0
58,0,5182,0,9,5,24,10.971494,0,0,0
59,1,3913,0,17,4,31,31.07052977,0,0,0
59,1,5042,0,16,2,24,19.38812599,0,0,0
59,1,7056,1,7,2,20,14.99128538,0,0,0
59,1,365,2,10,4,34,13.85311726,1,0,0
36,1,6490,0,32,6,29,14.6,0,0,0
59,0,486,0,23,6,13,18.40754099,0,0,0
59,2,186,0,18,5,25,33.39390385,0,0,0
58,0,1667,0,18,5,29,35.37184236,0,0,0
58,0,2347,0,20,4,19,12.36091218,0,0,0
59,1,1198,0,24,5,12,16.17074581,0,0,0
58,1,5825,0,18,5,15,4.876711351,0,0,0
59,1,3578,0,29,7,26,24.18597812,0,0,0
59,1,5077,0,5,5,29,26.69522522,0,0,0
59,1,14337,0,29,5,18,17.84988239,0,0,0
59,1,7774,0,19,5,28,11.89260142,1,0,0
59,0,729,0,25,3,29,34.22217676,0,0,0
59,0,1020,0,20,5,19,36.04230049,0,0,0
60,1,10758,3,14,3,11,5.1,0,0,0
59,0,2011,0,24,5,31,34.77675356,0,0,0
59,1,564,0,23,3,31,8.602384124,1,0,0
59,1,12450,0,27,7,11,11.51127048,1,0,0
59,0,6467,0,7,5,14,28.1077111,0,0,0
59,1,30090,0,20,5,34,35.93378651,0,0,0
58,1,6761,0,9,6,9,32.07248169,0,0,0
59,1,10975,0,11,5,22,16.99006706,0,0,0
60,1,17015,3,7,3,29,18.6067032,0,0,0
59,1,4193,0,20,7,25,14.36916452,1,1,0
58,1,351,0,23,3,31,30.73211568,0,0,0
58,0,11230,0,22,6,28,37.4964516,0,0,0
58,0,1135,0,13,6,26,20.81123343,1,0,0
59,1,4561,0,26,6,26,22.12671892,0,0,0
58,1,44364,1,18,6,27,35.22654714,0,0,0
59,1,11472,0,20,6,32,20.85347284,1,0,0
58,1,10333,0,26,5,31,13.19358561,0,0,0
58,0,3005,0,31,5,21,35.97007993,0,0,0
58,1,7064,0,24,7,33,20.32670045,0,0,0
59,0,19080,0,18,5,28,28.82593776,2,0,0
59,2,3943,0,15,2,20,10.31894499,2,0,0
59,1,10741,0,8,3,27,30.80558167,0,0,0
59,1,13467,0,29,6,23,14.35176295,0,0,0
59,1,1109,0,20,6,29,25.61857286,1,0,0
58,1,2012,0,27,5,22,14.68492344,0,0,0
58,0,3271,0,19,3,26,10.59200282,0,0,0
59,1,2375,0,30,5,31,26.63121158,0,0,0
58,1,10539,0,15,5,23,25.42664851,0,0,0
58,0,2870,0,28,3,19,13.91733151,0,0,0
59,1,3675,0,22,6,31,15.86709814,1,0,0
59,1,6446,0,18,4,31,23.61937583,0,0,0
58,1,5514,0,28,6,31,21.23413491,0,0,0
36,1,29047,1,22,7,34,11.28,0,0,0
59,0,5822,0,11,5,11,10.43667746,0,0,0
59,1,452,0,10,6,24,18.43500615,1,0,0
60,1,7989,1,22,7,6,32.63997136,0,0,0
59,0,2869,0,14,5,19,26.03069687,0,0,0
58,0,981,0,16,5,35,35.92964754,0,0,0
58,1,5074,0,19,5,27,22.95850582,0,0,0
58,0,785,0,19,7,25,17.21391154,0,0,0
59,1,3431,0,17,3,26,19.16707158,0,0,0
58,1,2833,0,17,3,17,38.77306713,0,0,0
59,1,359,0,23,6,16,27.43355118,1,0,0
58,1,7772,0,21,6,25,25.90294969,1,0,0
59,1,1117,0,15,5,22,14.39707736,0,0,0
59,1,5863,0,10,6,31,5.467379557,2,0,0
59,2,8594,0,24,3,4,13.85405875,1,0,0
59,1,3053,0,18,7,22,12.62025156,2,0,0
36,0,1654,1,51,6,26,28.3,1,0,0
59,1,11446,0,27,5,31,19.92098179,0,0,0
59,0,11035,0,5,6,27,38.13268146,0,0,0
60,1,2633,0,36,3,31,29.90402854,0,0,0
59,1,4666,0,18,5,23,20.67460966,0,0,0
59,1,20748,0,20,3,28,19.23713062,1,0,0
59,1,8410,0,10,6,23,24.00487232,0,0,0
60,1,3590,0,14,6,22,20.09106527,0,0,0
59,0,7594,0,16,5,12,17.79839916,0,0,0
59,1,9557,0,22,6,31,16.01354662,0,0,0
60,0,1947,0,20,6,31,10.08781097,2,0,0
58,1,3533,1,18,7,12,15.93586529,1,0,0
58,1,10827,0,8,5,29,15.08315778,0,0,0
58,1,23975,0,8,6,27,25.69237101,1,0,0
58,1,6927,0,19,6,32,23.46525428,0,0,0
59,1,8496,0,7,6,33,20.24841649,0,0,0
58,0,3856,0,14,4,24,27.01566188,1,0,0
59,1,1058,2,32,6,20,33.00715726,2,0,0
59,1,9534,1,6,7,17,10.68675328,0,0,0
59,1,10607,0,28,6,6,29.45939079,0,0,0
58,0,1629,0,20,6,23,22.93387845,2,0,0
59,1,3631,0,9,5,30,21.77429792,1,0,0
59,1,2316,0,19,3,26,9.848980487,0,0,0
58,1,4321,0,18,6,31,19.02959112,0,0,0
59,2,9843,0,11,6,24,37.46269067,0,0,0
59,0,11531,0,8,5,6,14.16102086,0,0,0
59,0,12772,0,16,5,26,28.46886829,0,0,0
58,0,13777,0,5,6,20,29.71646239,0,0,0
60,0,2230,0,7,6,20,27.37930893,0,0,0
59,1,3611,0,7,3,29,14.87690571,0,0,0
58,1,1455,0,15,3,23,38.77025121,0,0,0
58,1,8642,0,19,5,19,16.76393113,0,0,0
59,1,3911,0,37,6,31,28.66238557,0,0,0
36,0,17202,1,21,6,28,16.92,3,0,0
58,1,1794,0,18,6,30,16.97256253,0,0,0
58,1,3239,0,18,7,18,38.46804071,0,0,0
58,1,3101,0,19,5,24,32.93895553,0,0,0
58,0,3934,0,22,5,26,23.62484897,1,0,0
59,2,3153,2,17,4,2,33.98241778,2,0,0
59,2,1259,0,20,5,6,30.7931117,1,0,0
59,1,7407,0,26,3,18,19.83317171,1,0,0
59,1,4437,0,9,5,27,19.40473686,0,0,0
59,0,6183,0,21,7,28,33.05206797,1,0,0
58,0,1005,0,9,5,14,27.92822652,0,0,0
59,1,2618,0,25,5,21,37.34198456,0,0,0
